시도,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,위험점수,체불_전체,체불_2025이후
전북,운수창고업,381,6230,1929553380,140,134,0.3910761154855643,309719.64365971106,0.021990369181380417,16.35170603674541,0.19868585150512133,0,0
경북,운수창고업,587,21548,8047771560,1022,924,0.3781942078364566,373481.1379246334,0.04515500278448116,36.70868824531516,0.19470347601066898,0,0
전남,부동산업,785,21538,6072034340,522,486,0.3235668789808917,281921.92125545547,0.023400501439316556,27.436942675159237,0.19375490876022497,0,0
세종,전문과학기술,393,8865,3056742100,319,256,0.3969465648854962,344810.1635645798,0.03243090806542583,22.557251908396946,0.18990787819475483,0,0
광주,기타,2183,33317,8581234200,878,817,0.2510306917086578,257563.231983672,0.025437464357535192,15.262024736601008,0.17799208243204503,0,0
인천,정보통신업,571,6642,2359145300,206,235,0.404553415061296,355185.98313760915,0.03319783197831978,11.632224168126095,0.17170213600910586,2,1
서울,도소매업,26125,573616,198562657380,20405,18907,0.38089952153110046,346159.5516512789,0.03426682658782182,21.956593301435408,0.16633566579674916,36,9
부산,정보통신업,684,8024,2548102500,279,242,0.3333333333333333,317560.13210368896,0.03246510468594217,11.730994152046783,0.15444624947081578,4,1
광주,운수창고업,331,6648,2230579340,214,219,0.36253776435045315,335526.37484957883,0.0325661853188929,20.084592145015105,0.14265470124721402,0,0
서울,전문과학기술,23408,684585,228350359660,29360,25939,0.3136961722488038,333560.2732458351,0.040388702644667936,29.24577067669173,0.136089528304387,19,5
경북,기타,4571,66840,17249784300,1864,1821,0.2238022314591993,258075.76750448832,0.027565828845002992,14.622620870706628,0.130844151444632,0,0
대구,전문과학기술,1615,26660,8027430600,921,904,0.2786377708978328,301103.9234808702,0.034227306826706674,16.507739938080494,0.12017655988213599,2,0
전북,전문과학기술,1355,24695,7755389060,803,754,0.31881918819188193,314046.93500708643,0.03152460012148208,18.225092250922508,0.11848621919899986,0,0
충남,전문과학기술,1877,33212,10954040840,1487,1186,0.30101225359616407,329821.77646633744,0.04024147898349994,17.694192860948323,0.11773393437879565,0,0
대구,협회수리개인,379,5564,1676760020,205,209,0.25857519788918204,301358.73831775703,0.037203450754852624,14.680738786279683,0.10818125202744772,0,0
대구,기타,3042,54129,13805350120,1679,1480,0.19888231426692965,255045.3568327514,0.029180291525799477,17.79388560157791,0.10618097755946217,0,0
인천,전문과학기술,2460,49256,16752615940,1718,1950,0.3252032520325203,340113.2032645769,0.03723404255319149,20.022764227642277,0.08613348163569838,1,1
제주,운수창고업,288,7284,2553265560,151,260,0.3888888888888889,350530.69192751235,0.028212520593080725,25.291666666666668,0.0738341577658043,0,0
서울,협회수리개인,4987,96305,33752707020,3685,3634,0.3322638861038701,350477.20284512744,0.037999065469082605,19.311209143773812,0.06572408047390461,5,0
전남,운수창고업,649,9069,3064072400,235,351,0.3405238828967643,337862.21193075314,0.03230786194729297,13.973805855161787,0.06483577980815372,0,0
충북,전문과학기술,1461,28720,9605930400,1211,976,0.30116358658453113,334468.3286908078,0.038074512534818944,19.65776865160849,0.06056139898632897,0,0
경기,협회수리개인,3461,62938,21054726340,2333,1923,0.31898295290378503,334531.22660395945,0.03381105214655693,18.184917653857266,0.044649875409402934,3,2
부산,기타,4698,80918,22744350860,2592,2455,0.2232865048957003,281079.0041770681,0.031185891890555872,17.223925074499785,0.03716881420017452,0,0
경남,정보통신업,274,3145,1007214720,119,103,0.28102189781021897,320259.05246422894,0.03529411764705882,11.478102189781023,0.03642346259522234,0,0
