시도,시군구,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,신호_저임금,신호_이직률,신호_영세성,위험점수,위험백분위,체불_전체,체불_2025이후
경북,상주시,건설업,274,1652,447055000,155,75,0.48175182481751827,270614.406779661,0.06961259079903148,6.029197080291971,0.876,1.129,1.374,1.1264,95.6,1,0
경기,양평군,건설업,218,1430,491691920,188,95,0.5,343840.5034965035,0.09895104895104895,6.559633027522936,-0.386,2.244,1.511,1.1231,95.5,1,1
서울,서대문구,교육서비스업,33,649,121967220,26,13,0.42424242424242425,187931.00154083205,0.030046224961479198,19.666666666666668,2.797,-0.374,0.941,1.1214,95.5,0,0
경북,영덕군,건설업,129,763,220543000,45,53,0.5503875968992248,289047.18217562255,0.06422018348623854,5.9147286821705425,0.529,0.925,1.891,1.1147,95.4,0,0
인천,미추홀구,숙박음식점업,75,675,168732800,70,69,0.25333333333333335,249974.5185185185,0.10296296296296296,9.0,1.294,2.396,-0.347,1.1146,95.4,2,0
전남,고흥군,건설업,203,1278,354449000,102,54,0.5369458128078818,277346.6353677621,0.06103286384976526,6.295566502463054,0.746,0.804,1.789,1.1131,95.3,0,0
충남,당진시,건설업,529,5059,2000890540,971,435,0.387523629489603,395511.0772880016,0.13896026882783158,9.563327032136106,-1.124,3.764,0.664,1.1014,95.2,3,1
울산,중구,건설업,242,1864,652764360,285,117,0.45867768595041325,350195.4721030043,0.10783261802575107,7.702479338842975,-0.482,2.581,1.2,1.0996,95.2,2,0
광주,남구,건설업,211,1647,587316120,258,95,0.47393364928909953,356597.5227686703,0.1071645415907711,7.805687203791469,-0.578,2.556,1.315,1.0976,95.1,2,1
전남,목포시,숙박음식점업,68,604,131040200,47,42,0.29411764705882354,216953.97350993377,0.07367549668874172,8.882352941176471,2.041,1.284,-0.039,1.095,95.1,0,0
경기,양주시,건설업,446,3410,1206047660,625,161,0.4260089686098655,353679.6656891496,0.11524926686217009,7.645739910313901,-0.535,2.863,0.954,1.0941,95.0,1,1
