스냅샷,시도,시군구,업종대분류,가입자수,위험점수,위험백분위,이직률,인당보험료
2026-05,경기,광주시,숙박음식점업,583,0.6,83.0,0.06432246998284734,276356.94682675815
2026-05,경기,광주시,운수창고업,4792,-0.2572,32.5,0.02525041736227045,388345.7262103506
2026-05,경기,광주시,전문과학기술,2399,0.4566,77.3,0.054397665694039185,308631.48812005
2026-05,경기,광주시,제조업,19583,-0.3038,30.6,0.02377061737221059,332415.7646938671
2026-05,경기,광주시,협회수리개인,972,-0.0207,45.2,0.03755144032921811,285919.71193415637
2026-05,경기,구리시,건설업,1642,1.2972,97.6,0.11053593179049939,361450.9378806334
2026-05,경기,구리시,기타,2862,0.1349,56.0,0.027078965758211043,260081.72606568833
2026-05,경기,구리시,도소매업,4680,0.4749,78.4,0.03397435897435897,300930.64957264956
2026-05,경기,구리시,보건사회복지,2042,-0.7614,14.6,0.03574926542605289,311946.1214495592
2026-05,경기,구리시,부동산업,671,0.028,48.6,0.018628912071535022,313014.99254843517
2026-05,경기,구리시,운수창고업,509,-0.2781,31.7,0.019646365422396856,327458.82121807465
2026-05,경기,구리시,전문과학기술,2376,0.2403,63.6,0.03009259259259259,321875.9259259259
2026-05,경기,구리시,제조업,1610,0.2226,62.0,0.02546583850931677,307830.7577639752
2026-05,경기,구리시,협회수리개인,528,0.1937,59.7,0.022727272727272728,281778.5606060606
2026-05,경기,군포시,건설업,1669,0.4809,78.6,0.07219892150988616,372437.35170760937
2026-05,경기,군포시,기타,4908,-0.2,34.7,0.02597799511002445,288449.4417277914
2026-05,경기,군포시,도소매업,4642,0.0802,51.8,0.03069797501077122,321412.83929340803
2026-05,경기,군포시,보건사회복지,2195,-0.731,15.7,0.03553530751708428,313148.0273348519
2026-05,경기,군포시,부동산업,803,0.2612,65.3,0.04234122042341221,306005.20547945204
2026-05,경기,군포시,숙박음식점업,567,0.7111,85.7,0.06966490299823633,244583.6684303351
2026-05,경기,군포시,운수창고업,964,-0.0943,40.8,0.03008298755186722,319781.4315352697
2026-05,경기,군포시,전문과학기술,4368,0.1058,53.7,0.03983516483516483,305198.5576923077
2026-05,경기,군포시,정보통신업,970,0.407,75.2,0.06649484536082474,310210.6597938144
2026-05,경기,군포시,제조업,15503,-0.6573,18.0,0.02122169902599497,380630.831451977
2026-05,경기,군포시,협회수리개인,1086,0.006,47.1,0.0423572744014733,294695.81952117867
2026-05,경기,김포시,건설업,5761,0.9077,91.9,0.0983336226349592,368366.39125151886
2026-05,경기,김포시,금융보험업,746,-0.8627,10.7,0.00938337801608579,440023.3512064343
2026-05,경기,김포시,기타,10212,-0.0894,41.2,0.027614571092831962,281487.57344300824
2026-05,경기,김포시,도소매업,11447,0.3777,73.4,0.03795754346116886,311534.153926793
2026-05,경기,김포시,보건사회복지,5180,-0.8982,10.0,0.032335907335907334,329020.3359073359
2026-05,경기,김포시,부동산업,2484,0.292,67.0,0.028985507246376812,315741.9887278583
2026-05,경기,김포시,수도하수폐기물,555,0.4845,78.8,0.01981981981981982,223623.85585585586
2026-05,경기,김포시,숙박음식점업,812,0.8228,89.2,0.08374384236453201,268028.89162561577
2026-05,경기,김포시,운수창고업,3241,-0.1418,37.6,0.028077753779697623,341373.85991977784
2026-05,경기,김포시,전문과학기술,3439,0.5769,82.2,0.04550741494620529,284099.77318988077
2026-05,경기,김포시,정보통신업,965,0.7588,87.2,0.04870466321243523,287940.91191709845
2026-05,경기,김포시,제조업,35205,-0.2434,32.9,0.023533588978838234,334376.0085215168
